i,j,minutos
11,43,12112
11,44,12110
11,45,12110
11,46,12214
11,47,12219
11,48,12218
11,49,12035
11,50,12033
11,51,12034
11,52,12040
11,53,12047
11,54,12176
11,55,11965
11,56,12121
11,57,12122
11,58,11971
11,59,11950
11,60,12182
11,61,12183
11,62,12184
11,63,12022
11,64,12020
11,65,12020
11,66,11952
11,67,11971
11,68,11963
11,69,11935
11,70,11936
11,71,11936
11,72,12190
11,73,12191
11,74,11916
11,75,11918
11,76,11914
11,77,12224
11,78,12224
11,79,12188
11,80,12180
11,81,12178
11,82,12201
11,83,12201
11,84,12201
11,85,11913
11,86,11910
11,87,11917
11,88,11915
11,89,11911
11,90,11915
11,91,11981
11,92,11985
11,93,11977
11,94,11932
11,95,11937
11,96,11948
11,97,11960
11,98,11959
12,1,253
12,2,252
12,3,255
12,4,136
12,5,137
12,6,134
12,7,181
12,8,188
12,9,188
12,10,297
12,11,298
12,12,291
12,13,200
12,14,201
12,15,203
12,16,72
12,17,72
12,18,72
12,19,108
12,20,113
12,21,114
12,22,266
12,23,264
12,24,275
12,25,278
12,26,285
12,27,17
12,28,17
12,29,12037
12,30,12036
12,31,12035
12,32,4
12,33,1
12,34,1
12,35,23
12,36,24
12,37,123
12,38,123
12,39,122
12,40,76
12,41,74
12,42,73
12,43,78
12,44,77
12,45,76
12,46,178
12,47,184
12,48,182
12,49,26
12,50,36
12,51,23
12,52,74
12,53,74
12,54,140
12,55,125
12,56,211
12,57,211
12,58,70
12,59,88
12,60,156
12,61,155
12,62,158
12,63,36
12,64,37
12,65,36
12,66,123
12,67,113
12,68,119
12,69,101
12,70,100
12,71,101
12,72,155
12,73,157
12,74,322
12,75,318
12,76,321
12,77,188
12,78,188
12,79,152
12,80,145
12,81,142
12,82,166
12,83,166
12,84,165
12,85,329
12,86,330
12,87,340
12,88,153
12,89,156
12,90,154
12,91,107
12,92,105
12,93,110
12,94,131
12,95,133
12,96,116
12,97,114
12,98,115
13,1,230
13,2,229
13,3,232
13,4,159
13,5,160
13,6,157
13,7,189
13,8,196
13,9,195
13,10,273
13,11,275
13,12,267
13,13,177
13,14,177
13,15,180
13,16,85
13,17,85
13,18,85
13,19,91
13,20,96
13,21,96
13,22,243
13,23,241
13,24,252
13,25,255
13,26,262
13,27,32
13,28,31
13,29,12027
13,30,12027
13,31,12025
13,32,21
13,33,22
13,34,23
13,35,1
13,36,1
13,37,143
13,38,144
13,39,144
13,40,53
13,41,51
13,42,49
13,43,86
13,44,84
13,45,83
13,46,187
13,47,193
13,48,191
13,49,48
13,50,57
13,51,45
13,52,54
13,53,55
13,54,153
13,55,138
13,56,234
13,57,234
13,58,72
13,59,86
13,60,174
13,61,172
13,62,176
13,63,13
13,64,14
13,65,12
13,66,101
13,67,90
13,68,97
13,69,94
13,70,94
13,71,95
13,72,164
13,73,165
13,74,298
13,75,295
13,76,298
13,77,198
13,78,198
13,79,165
13,80,158
13,81,155
13,82,178
13,83,178
13,84,177
13,85,306
13,86,307
13,87,316
13,88,133
13,89,136
13,90,133
13,91,84
13,92,81
13,93,86
13,94,111
13,95,112
13,96,95
13,97,125
13,98,127
14,1,357
14,2,356
14,3,360
14,4,52
14,5,53
14,6,49
14,7,240
14,8,247
14,9,250
14,10,410
14,11,410
14,12,402
14,13,317
14,14,317
14,15,319
14,16,144
14,17,145
14,18,145
14,19,191
14,20,196
14,21,198
14,22,370
14,23,368
14,24,381
14,25,385
14,26,395
14,27,129
14,28,130
14,29,12027
14,30,12026
14,31,12025
14,32,124
14,33,124
14,34,123
14,35,144
14,36,144
14,37,4
14,38,2
14,39,2
14,40,196
14,41,194
14,42,192
14,43,165
14,44,165
14,45,165
14,46,233
14,47,238
14,48,238
14,49,97
14,50,87
14,51,100
14,52,197
14,53,197
14,54,187
14,55,64
14,56,118
14,57,118
14,58,113
14,59,129
14,60,170
14,61,172
14,62,171
14,63,156
14,64,156
14,65,154
14,66,225
14,67,221
14,68,226
14,69,151
14,70,149
14,71,147
14,72,216
14,73,219
14,74,435
14,75,431
14,76,434
14,77,236
14,78,236
14,79,196
14,80,189
14,81,187
14,82,207
14,83,206
14,84,207
14,85,442
14,86,443
14,87,453
14,88,242
14,89,244
14,90,243
14,91,219
14,92,217
14,93,220
14,94,223
14,95,229
14,96,212
14,97,76
14,98,76
15,1,182
15,2,181
15,3,184
15,4,212
15,5,213
15,6,210
15,7,206
15,8,212
15,9,209
15,10,222
15,11,223
15,12,216
15,13,124
15,14,125
15,15,127
15,16,121
15,17,120
15,18,120
15,19,81
15,20,83
15,21,83
15,22,196
15,23,193
15,24,203
15,25,205
15,26,211
15,27,79
15,28,78
15,29,12016
15,30,12016
15,31,12015
